Regulator Name	Regulator Type	Regulator Subtype	Regulator HGNC Symbol	Regulator Database	Regulator ID	Regulator Compartment	Regulator Compartment ID	Regulated Name	Regulated Type	Regulated Subtype	Regulated HGNC Symbol	Regulated Database	Regulated ID	Regulated Compartment	Regulated Compartment ID	Sign	Connection Type	Mechanism	Site	Cell Line	Cell Type	Tissue Type	Organism	Score	Source	Statements	Paper IDs	
BCL-2	Protein				P10415			apoptosis	Biological Process			go	GO:0006915			negative	I	NONE			cl:CL:0001064					Cell intrinsic apoptosis is regulated by the complex interaction of three layers of BCL-2 family-member proteins : the pro apoptotic BH3-only proteins , BIM , BMF , PUMA , NOXA , BIK , BID , BAD and HRK , inhibit the pro survival proteins in response to cellular damage ; the pro survival BCL-2 family proteins , BCL-2 , BCL-XL , BCL-W , MCL-1 , and A1 , antagonise the effectors of apoptosis ; and downstream effectors of apoptosis , BAX and BAK [ 85,117 ] .	PMC8398498	
BCL2	Protein				P10415			apoptosis	Biological Process			go	GO:0006915			positive	I	NONE			cl:CL:0000236					The pro apoptotic proteins induce apoptosis by activating Bax and Bak either directly or indirectly via inhibition of the anti-apoptotic proteins ( Figure 1a ) [ 3,7 ] .	PMC9775488	
Fas	Protein				P25445			apoptosis	Biological Process			go	GO:0006915			positive	I	NONE			cl:CL:0000236 ++++ cl:CL:0001063 ++++ cl:CL:0000786 ++++ cl:CL:0000844 ++++ cl:CL:0000787					It has been postulated that HRS cells may be derived from B cells that escape Fas mediated apoptosis in the dark zone , although the details remain to be uncovered . ++++ B-cells expressing a low-affinity BCR or self-reactive BCR will be eliminated by Fas mediated apoptosis in the light zone of germinal centers . ++++ In vitro experiments have shown that HRS cells are resistant to apoptosis induced by the FAS pathway and that this resistance is associated with mutations in FAS .	PMC9841868	
FAS	Protein				P25445			apoptosis	Biological Process			go	GO:0006915			positive	I	NONE			mesh:D015496 ++++ cl:CL:0000084					Indeed , BCC cells constitutively express FAS ligand but not FAS and can , therefore , evade local antitumour immune responses by inducing FAS mediated apoptosis of FAS CD4 T cells .	PMC8130796	
Fas	Protein				P25445			apoptosis	Biological Process			go	GO:0006915			positive	I	NONE		cellosaurus:CVCL_3772	cl:CL:0000813					ζ signaling from the TCR complex is known to increase sensitivity to Fas mediated apoptosis 48 to 72 h after TCR activation ( 25 , 26 ) , which correlates with the peak of apoptosis we observed 48 h after TCR stimulation of GD2 .	PMC6297364	
Fas	Protein				P25445			apoptosis	Biological Process			go	GO:0006915			positive	I	NONE			cl:CL:0000084					Activation of the Fas death receptor initiates apoptosis and disrupting these receptors could be key to increasing CAR T cell efficacy .	PMC10185706	
FAS	Protein				P25445			apoptosis	Biological Process			go	GO:0006915			positive	I	NONE			cl:CL:0001063 ++++ cl:CL:0000084 ++++ cl:CL:0001064					We also noted increased apoptosis in CD19 CAR T cells initially cultured with CD58 tumor cells , and this increased apoptosis was not driven by FAS or TNFR2 upregulation ( Figure 3K ; supplemental Figure 8E-F ) .	PMC9649996	
FasL	Protein				P48023	Other	sl-0487	apoptosis	Biological Process			go	GO:0006915	Other	sl-0487	positive	I	NONE		cellosaurus:CVCL_0065 ++++ cellosaurus:CVCL_1564 ++++ cellosaurus:CVCL_0632 ++++ cellosaurus:CVCL_1384	cl:CL:0000815 ++++ cl:CL:0001064 ++++ mesh:D015496 ++++ cl:CL:0000084					As summarized in Figure 6A , the CEA cancer cells differ significantly in their sensitivity towards FasL induced apoptosis , ranging from resistance ( SW948 ) , to intermediate ( LS174T ) , and to high susceptibility ( H508 ) . ++++ There are two major pathways in mediating target cell lysis , i.e ., ( i ) release of cytolytic effector proteins , in particular perforin and granzyme B , and ( ii ) Fas / FasL induced apoptosis .	PMC5615327	
CD95L	Protein				P48023			Apoptosis	Biological Process			go	GO:0006915			positive	I	NONE		cellosaurus:CVCL_0095 ++++ cellosaurus:CVCL_0065	cl:CL:0000084					c-FLIP Expression Protects CAR T Cells from CD95L Induced Apoptosis .	PMC9564159	
FasL	Protein				P48023	Other	sl-0258	apoptosis	Biological Process			go	GO:0006915	Other	sl-0258	positive	I	NONE								Furthermore , the apoptosis induced by TNF-α and FasL ( 10 ng ml ) in PTL-Her2-CAR-T cells and Her2-CAR-T cells carrying exogenous CD56 was also significantly lower than that in Her2-CAR-T cells ( Fig. 6b ) .	PMC6739330	
FasL	Protein				P48023	Other	sl-0487	apoptosis	Biological Process			go	GO:0006915	Other	sl-0487	positive	I	NONE			cl:CL:0001064 ++++ cl:CL:0000623					Several anticancer agents upregulate CD95 or death receptors in cancer cells , thereby sensitizing cancer cells to apoptosis mediated by FasL and TRAIL .	PMC8396358	
Fas ligand	Protein				P48023	Other	sl-0431	apoptosis	Biological Process			go	GO:0006915	Other	sl-0431	positive	I	NONE			cl:CL:0001063 ++++ cl:CL:0000738 ++++ cl:CL:0000815 ++++ cl:CL:0000910 ++++ cl:CL:0000542 ++++ cl:CL:0000034					HRS cells produce chemokines such as CCL5 , CCL17 , and CCL22 and cytokines such as interleukin 7 ( IL-7 ) to recruit T regulatory ( Treg ) cells , and they express Fas ligand , which can induce apoptosis of tumor specific cytotoxic T lymphocytes ( CTLs ) .	PMC8945637	
TRAIL	Protein				P50591			apoptosis	Biological Process			go	GO:0006915			positive	I	NONE			cl:CL:0000084 ++++ cl:CL:0001063 ++++ cl:CL:0001064					It is possible that cancer cells are more sensitive than T cells to indomethacin at a certain dose range because cancer cells are known to have higher basal levels of endogenous oxidative stress as compared with normal cells.6 From a practical perspective , if TRAIL induced apoptosis in T cells does become a concern , this issue can be addressed by engineering T cells to overexpress a dominant negative form of DR5 to disrupt DR5 signaling , or an antioxidant gene such as catalase to mitigate oxidative stress .	PMC9330341	
TRAIL	Protein				P50591	Other	sl-0487	apoptosis	Biological Process			go	GO:0006915	Other	sl-0487	positive	I	NONE			cl:CL:0001064 ++++ cl:CL:0000623 ++++ cl:CL:0000084					Shankar et al. report that paclitaxel , vincristine , vinblastine , camptothecin , etoposide , and doxorubicin upregulate DR4 and DR5 in prostate cancer cells , leading to augmentation of TRAIL induced apoptosis via caspase activation [ 71 ] . ++++ Several anticancer agents upregulate CD95 or death receptors in cancer cells , thereby sensitizing cancer cells to apoptosis mediated by FasL and TRAIL .	PMC8396358	
caspase 9	Protein				P55211			apoptosis	Biological Process			go	GO:0006915			positive	I	NONE			cl:CL:0000034					Rimiducid , a caspase 9 dimerizing agent , can be administered to initiate apoptosis if patient safety is threatened.231 P-BCMA-101 has been the subject of a phase I trial ( NCT03288493 ; PRIME ) in heavily pretreated RRMM patients .	PMC8437262	
apoptosis	Biological Process				GO:0006915			4-1BB	Protein			uniprot	Q07011			negative	I	NONE		cellosaurus:CVCL_7955 ++++ cellosaurus:CVCL_6353	cl:CL:0001063					To further understand the mechanism of action , we found that constitutive 4-1BB sensing significantly reduced the apoptosis of CAR-T cells , enhanced proliferation , and increased NF-kappaB pathway activation . ++++ These data collectively suggest that 4-1BB signaling can specifically enhance CAR-T cell survival through reducing apoptosis in CD28 incorporated 2 generation of CAR-T cells and we will focus on our study by dissecting the cytotoxic ability and in vivo efficacy of 2028Z-4-1BB CAR-T cells .	PMC7691374	
4-1BB	Protein				Q07011	Other	sl-0310	Apoptosis	Biological Process			go	GO:0006915	Other	sl-0310	positive	I	NONE			cl:CL:0000084 ++++ cl:CL:0000813					4-1BB Co-Stimulation Signal Enhances the Survival of CAR-T Cells by Reducing Apoptosis .	PMC7691374	
IRF3	Protein				Q14653			apoptosis	Biological Process			go	GO:0006915			positive	I	NONE		cellosaurus:CVCL_0030	cl:CL:0001063 ++++ cl:CL:0000738 ++++ cl:CL:0001064 ++++ cl:CL:0000451					Thus , they demonstrated that induction of cytoplasmic RNA – DNA hybrids sets off an innate immune response even in cancer cells , thereby triggering Ser386 phosphorylation of the interferon regulatory transcription factor 3 ( IRF3 ) , which in turn induces apoptosis [ 94 ] .	PMC10002487	
caspase-8	Protein				Q14790			apoptosis	Biological Process			go	GO:0006915			positive	I	NONE			cl:CL:0000084 ++++ cl:CL:0000911					This speculation is based on Misra et al. 2015 , who showed that while caspase-8 activation induces apoptosis , intermediate caspase-8 activity is still necessary for the activation of effector T cells [ 66 ] .	PMC9564159	
CXCL10	Protein				P02778			chemotaxis	Biological Process			go	GO:0006935			positive	I	NONE			cl:CL:0000084					The upregulation of IFN-β paralleled the observed increases in chemokines such as CCL5 and CXCL10 , which are key mediators of the chemotaxis of CD8 T lymphocytes ( Fig. 2f – i and Additional file 1 : Fig. S5e , f ) [ 9 , 10 ] .	PMC8461872	
IL-8	Protein				P10145	Other	sl-0431	chemotaxis	Biological Process			go	GO:0006935	Other	sl-0431	positive	I	NONE			cl:CL:0000084					In this study , CD70 directed CAR T cells were engineered to express IL-8 receptors which aims to enhance intratumour chemotaxis of the T cells when IL-8 is present [ 33 ] .	PMC7408985	
CCL5	Protein				P13501			chemotaxis	Biological Process			go	GO:0006935			positive	I	NONE			cl:CL:0000084					The upregulation of IFN-β paralleled the observed increases in chemokines such as CCL5 and CXCL10 , which are key mediators of the chemotaxis of CD8 T lymphocytes ( Fig. 2f – i and Additional file 1 : Fig. S5e , f ) [ 9 , 10 ] .	PMC8461872	
Gal-9	Protein				O00182			inflammation	Biological Process			go	GO:0006954			positive	I	NONE			cl:CL:0000815 ++++ cl:CL:0000451 ++++ cl:CL:0000113 ++++ cl:CL:0000738		uberon:UBERON:0000468 ++++ uberon:UBERON:0000014			On the contrary , other papers reported that Gal-9 might promote Th1-type immunity under certain physiologic or pathologic conditions , such as during activation of mononuclear phagocytes and dendritic cells , in anti-bacterial immunity allograft rejection , joint inflammation , skin allergy , or endometriosis [ 31,32,33,34,35,36 ] .	PMC8391477	
TNF	Protein				P01375			inflammation	Biological Process			go	GO:0006954			positive	I	NONE		cellosaurus:CVCL_W527	cl:CL:0000188 ++++ cl:CL:0000235 ++++ cl:CL:0001063 ++++ cl:CL:0000084		uberon:UBERON:0003891			Besides augmenting inflammation , TNF can support tumorigenesis by enhancing the epithelial – mesenchymal transition , promoting metastasis and negatively regulating anti-tumor immune responses .	PMC7872024	
IL6	Protein				P05231	Other	sl-0310	inflammation	Biological Process			go	GO:0006954	Other	sl-0310	positive	I	NONE		cellosaurus:CVCL_0023	cl:CL:0001063					In the current study , after the second infusion of NKG2D CAR-T cells , the mice in the NKG2D ( z )-treated group showed significant weight loss and higher IL6 , which may lead to inflammation and death of the mice .	PMC9372572	
P2X7	Protein				Q99572			inflammation	Biological Process			go	GO:0006954			negative	I	NONE								The anti-mouse P2X7 nanobody could efficiently decrease inflammation in an experimental mouse model of glomerulonephritis .	PMC9905824	
TLR2	Protein				O60603			immune response	Biological Process			go	GO:0006955			positive	I	NONE			cl:CL:0000236 ++++ cl:CL:0000738 ++++ cl:CL:0000623 ++++ cl:CL:0000066 ++++ cl:CL:0000084					However , in T-cells from either MyD88- or IRAK4 deficient mice , TLR2 activation can elicit a partial immune response via c-Jun N-terminal kinase , p38 and an unknown adaptor molecule , suggesting an alternative TLR2 signaling pathway in T-cells .	PMC8606765	
